"ProductId","ProductName","Category","UnitCost","UnitPrice_v2","Discontinued"
"56","Product_056","Consumables","875.24","1146.56","FALSE"
"57","Product_057","Hardware","161.9","289.8","FALSE"
"58","Product_058","Hardware","361.3","433.56","FALSE"
"59","Product_059","Consumables","391.14","571.06","FALSE"
"60","Product_060","Hardware","229.85","393.04","FALSE"
"61","Product_061","Licences","120","151.2","FALSE"
"62","Product_062","Licences","101.52","138.07","FALSE"
"63","Product_063","Consumables","33.9","54.24","FALSE"
"64","Product_064","Services","605.41","780.98","FALSE"
"65","Product_065","Hardware","54.68","71.63","FALSE"
"66","Product_066","Hardware","232.22","413.35","FALSE"
"67","Product_067","Hardware","536.03","959.49","FALSE"
"68","Product_068","Software","326.69","503.1","FALSE"
"69","Product_069","Consumables","755.09","981.62","FALSE"
"70","Product_070","Hardware","191.23","252.42","FALSE"
"71","Product_071","Licences","400.39","488.48","FALSE"
"72","Product_072","Hardware","571.84","937.82","FALSE"
"73","Product_073","Licences","639.71","940.37","FALSE"
"74","Product_074","Software","41.97","57.92","FALSE"
"75","Product_075","Consumables","370.66","644.95","FALSE"
"76","Product_076","Hardware","833.28","1224.92","FALSE"
"77","Product_077","Hardware","601.34","932.08","FALSE"
"78","Product_078","Consumables","76.29","134.27","FALSE"
"79","Product_079","Consumables","218.3","292.52","FALSE"
"80","Product_080","Hardware","771.62","1257.74","FALSE"
"81","Product_081","Licences","459.57","785.86","FALSE"
"82","Product_082","Consumables","597.53","806.67","FALSE"
"83","Product_083","Licences","821.68","1175","FALSE"
"84","Product_084","Software","570.29","861.14","FALSE"
"85","Product_085","Consumables","296.27","408.85","FALSE"
"86","Product_086","Software","682.37","914.38","FALSE"
"87","Product_087","Services","454.58","777.33","FALSE"
"88","Product_088","Consumables","555.59","666.71","FALSE"
"89","Product_089","Hardware","412.13","597.59","FALSE"
"90","Product_090","Consumables","743.15","1315.38","FALSE"
"91","Product_091","Hardware","443.87","688","FALSE"
"92","Product_092","Consumables","730.3","978.6","FALSE"
"93","Product_093","Licences","161.85","271.91","FALSE"
"94","Product_094","Software","309.06","540.86","FALSE"
"95","Product_095","Hardware","148.86","253.06","FALSE"
"96","Product_096","Hardware","651.61","821.03","FALSE"
"97","Product_097","Services","357.54","500.56","TRUE"
"98","Product_098","Services","607.16","850.02","FALSE"
"99","Product_099","Software","25.04","35.81","FALSE"
"100","Product_100","Consumables","778.67","1183.58","FALSE"
"101","Product_101","Services","424.13","640.44","FALSE"
"102","Product_102","Hardware","666.07","1172.28","FALSE"
"103","Product_103","Services","484.04","658.29","FALSE"
"104","Product_104","Services","627.22","1034.91","FALSE"
"105","Product_105","Hardware","202.46","358.35","FALSE"
"106","Product_106","Software","163.16","257.79","FALSE"
"107","Product_107","Software","404.48","679.53","FALSE"
"108","Product_108","Licences","788.29","1174.55","FALSE"
"109","Product_109","Services","755.9","1133.85","FALSE"
"110","Product_110","Software","868.44","1111.6","FALSE"
"111","Product_111","Services","745.91","1297.88","FALSE"
"112","Product_112","Licences","70.45","123.99","FALSE"
"113","Product_113","Consumables","630.2","983.11","FALSE"
"114","Product_114","Hardware","794.81","1009.41","FALSE"
"115","Product_115","Services","728.96","1297.55","FALSE"
"116","Product_116","Licences","229.68","406.53","FALSE"
"117","Product_117","Software","602.57","825.52","TRUE"
"118","Product_118","Services","311.84","480.23","FALSE"
"119","Product_119","Hardware","380.44","559.25","FALSE"
"120","Product_120","Hardware","82.86","108.55","FALSE"
"121","Product_121","Services","722.83","1134.84","FALSE"
"122","Product_122","Software","546.52","950.94","FALSE"
"123","Product_123","Services","187.24","256.52","FALSE"
"124","Product_124","Software","27.6","46.92","FALSE"
"125","Product_125","Services","668.35","935.69","FALSE"
"126","Product_126","Hardware","96.17","143.29","FALSE"
"127","Product_127","Licences","615.86","819.09","FALSE"
"128","Product_128","Licences","581.56","703.69","FALSE"
"129","Product_129","Licences","316.71","551.08","FALSE"
"130","Product_130","Consumables","534.83","941.3","FALSE"
"131","Product_131","Software","764.87","1231.44","FALSE"
"132","Product_132","Hardware","311.2","544.6","FALSE"
"133","Product_133","Software","544.89","942.66","FALSE"
"134","Product_134","Software","768.63","1191.38","FALSE"
"135","Product_135","Software","719.48","1050.44","FALSE"
"136","Product_136","Licences","593.82","837.29","FALSE"
"137","Product_137","Software","476.18","661.89","FALSE"
"138","Product_138","Consumables","739.9","1257.83","FALSE"
"139","Product_139","Consumables","167.62","232.99","FALSE"
"140","Product_140","Licences","301.96","374.43","FALSE"
"141","Product_141","Hardware","158.34","193.17","FALSE"
"142","Product_142","Licences","833.95","1392.7","FALSE"
"143","Product_143","Licences","868.85","1207.7","FALSE"
"144","Product_144","Hardware","40.58","71.42","FALSE"
"145","Product_145","Software","433.64","520.37","FALSE"
"146","Product_146","Licences","265.4","414.02","FALSE"
"147","Product_147","Licences","777.45","1088.43","FALSE"
"148","Product_148","Services","165.59","220.23","FALSE"
"149","Product_149","Software","705.36","959.29","FALSE"
"150","Product_150","Services","592.14","905.97","FALSE"
"151","Product_151","Hardware","809.78","1117.5","FALSE"
"152","Product_152","Consumables","716.7","974.71","FALSE"
"153","Product_153","Hardware","637.44","1045.4","FALSE"
"154","Product_154","Services","320.33","397.21","FALSE"
"155","Product_155","Licences","496.4","789.28","FALSE"
"156","Product_156","Hardware","810.24","1401.72","FALSE"
"157","Product_157","Licences","316.2","458.49","FALSE"
"158","Product_158","Services","42.88","54.46","TRUE"
"159","Product_159","Services","864.63","1193.19","FALSE"
"160","Product_160","Services","21.77","37.44","FALSE"
"161","Product_161","Licences","240.04","376.86","FALSE"
"162","Product_162","Licences","46.13","66.89","FALSE"
"163","Product_163","Consumables","257.76","404.68","FALSE"
"164","Product_164","Consumables","748.17","1174.63","FALSE"
"165","Product_165","Software","504.83","832.97","FALSE"
"166","Product_166","Licences","846.24","1353.98","FALSE"
"167","Product_167","Hardware","562.63","877.7","FALSE"
"168","Product_168","Licences","884.41","1291.24","FALSE"
"169","Product_169","Software","279.26","357.45","FALSE"
"170","Product_170","Software","659.3","909.83","TRUE"
"171","Product_171","Services","746.34","1059.8","TRUE"
"172","Product_172","Software","817.65","1291.89","FALSE"
"173","Product_173","Services","155.14","246.67","FALSE"
"174","Product_174","Services","606.66","928.19","TRUE"
"175","Product_175","Services","163.38","230.37","FALSE"
"176","Product_176","Services","500.24","835.4","FALSE"
"177","Product_177","Hardware","424.55","513.71","FALSE"
"178","Product_178","Software","202.3","254.9","FALSE"
"179","Product_179","Software","18.6","31.99","FALSE"
"180","Product_180","Consumables","881.39","1463.11","FALSE"
"181","Product_181","Consumables","836.18","1354.61","FALSE"
"182","Product_182","Hardware","676.95","1198.2","FALSE"
"183","Product_183","Licences","517.88","735.39","FALSE"
"184","Product_184","Consumables","517.54","895.34","FALSE"
"185","Product_185","Software","393.91","508.14","FALSE"
"186","Product_186","Software","50.49","87.85","FALSE"
"187","Product_187","Services","107.11","184.23","FALSE"
"188","Product_188","Hardware","233.96","297.13","FALSE"
"189","Product_189","Consumables","635.16","940.04","FALSE"
"190","Product_190","Services","445.29","725.82","FALSE"
"191","Product_191","Services","368.44","523.18","FALSE"
"192","Product_192","Licences","535.07","765.15","FALSE"
"193","Product_193","Services","713.94","978.1","FALSE"
"194","Product_194","Consumables","591.88","1006.2","FALSE"
"195","Product_195","Consumables","719.83","1043.75","FALSE"
"196","Product_196","Software","742.7","1322.01","FALSE"
"197","Product_197","Consumables","284.12","414.82","FALSE"
"198","Product_198","Licences","177.17","317.13","FALSE"
"199","Product_199","Consumables","171.12","292.62","FALSE"
"200","Product_200","Services","452.62","561.25","FALSE"
