"InventoryId","ProductId","WarehouseId","QtyOnHand","ReorderPoint","LastCounted"
"58","101","2","1497","228","2026-09-10"
"59","166","2","3334","46","2026-06-11"
"60","33","1","358","216","2026-08-21"
"61","96","7","4345","97","2026-03-24"
"62","160","4","3794","161","2026-08-30"
"63","67","4","654","30","2026-07-26"
"64","140","5","3220","78","2026-03-28"
"65","149","2","2004","181","2026-07-01"
"66","181","4","1926","162","2026-05-16"
"67","81","6","1349","370","2026-06-17"
"68","200","5","983","352","2026-09-01"
"69","161","1","4539","410","2026-07-01"
"70","116","2","2090","199","2026-04-15"
"71","16","4","3429","429","2026-05-26"
"72","191","3","943","428","2026-03-19"
"73","3","1","3133","96","2026-06-13"
"74","181","4","4345","296","2026-07-20"
"75","91","1","4129","115","2026-07-20"
"76","148","8","3764","260","2026-03-20"
"77","4","3","3775","119","2026-05-10"
"78","137","3","4003","61","2026-05-17"
"79","68","2","1636","197","2026-04-15"
"80","50","2","4679","307","2026-08-23"
"81","176","1","3340","220","2026-07-19"
"82","5","5","3763","159","2026-04-24"
"83","181","6","4194","33","2026-04-16"
"84","28","3","2510","445","2026-07-09"
"85","135","4","1638","211","2026-03-25"
"86","170","4","945","457","2026-05-19"
"87","163","2","1091","71","2026-05-30"
"88","199","3","1416","345","2026-03-28"
"89","24","1","1897","300","2026-06-26"
"90","11","1","1476","490","2026-06-19"
"91","156","1","3667","489","2026-06-20"
"92","75","6","4926","221","2026-08-15"
"93","98","8","2784","492","2026-04-25"
"94","98","1","1008","349","2026-09-11"
"95","151","7","2054","203","2026-09-12"
"96","168","6","4400","278","2026-06-11"
"97","94","4","283","33","2026-07-31"
"98","61","8","711","283","2026-08-11"
"99","197","1","4233","36","2026-06-29"
"100","64","4","1852","51","2026-07-21"
"101","107","1","2182","124","2026-05-27"
"102","200","1","2866","17","2026-05-24"
"103","200","6","84","420","2026-05-28"
"104","14","6","1677","42","2026-04-05"
"105","38","8","4275","202","2026-06-08"
"106","102","4","4073","161","2026-06-20"
"107","165","4","3627","62","2026-04-27"
"108","5","2","2482","111","2026-07-12"
"109","164","2","2104","58","2026-05-26"
"110","59","2","998","245","2026-08-29"
"111","100","2","4084","80","2026-06-26"
"112","187","1","4969","337","2026-03-20"
"113","103","2","4860","258","2026-06-08"
"114","23","8","3921","139","2026-03-27"
"115","5","2","4364","276","2026-05-30"
"116","47","4","895","498","2026-06-28"
"117","48","3","1795","482","2026-04-11"
"118","186","8","2048","132","2026-07-16"
"119","74","2","3979","237","2026-06-27"
"120","48","2","864","273","2026-08-30"
"121","117","4","337","422","2026-09-02"
"122","70","2","4363","29","2026-04-01"
"123","147","7","1289","24","2026-06-02"
"124","105","3","4128","273","2026-05-06"
"125","97","3","138","67","2026-05-10"
"126","171","1","3494","400","2026-08-27"
"127","69","3","89","190","2026-07-11"
"128","160","3","2214","435","2026-09-06"
"129","7","1","4608","382","2026-06-13"
"130","35","4","3527","437","2026-04-23"
"131","3","7","3370","61","2026-07-08"
"132","144","8","2951","78","2026-05-08"
"133","28","3","945","468","2026-07-16"
"134","185","1","1183","214","2026-08-06"
"135","114","6","2917","389","2026-09-09"
"136","123","6","1308","88","2026-09-04"
"137","56","8","2452","498","2026-07-12"
"138","124","5","10","422","2026-05-20"
"139","173","8","1487","312","2026-08-06"
"140","135","1","3508","418","2026-08-29"
"141","122","6","2429","434","2026-09-01"
"142","142","6","4162","183","2026-06-22"
"143","146","5","4452","11","2026-04-09"
"144","49","2","2134","116","2026-05-01"
"145","68","2","4207","127","2026-07-07"
"146","123","8","2776","400","2026-06-21"
"147","122","7","1965","289","2026-08-20"
"148","191","2","1416","194","2026-05-21"
"149","30","7","3804","403","2026-06-01"
"150","189","3","2390","419","2026-08-06"
"151","39","5","4517","261","2026-06-01"
"152","76","6","1378","381","2026-06-14"
"153","17","7","750","276","2026-08-03"
"154","60","7","1441","151","2026-05-25"
"155","135","1","4246","96","2026-03-28"
"156","43","6","2344","422","2026-04-07"
"157","28","5","1261","407","2026-06-08"
"158","162","6","4540","158","2026-07-20"
"159","97","7","2773","381","2026-08-13"
"160","17","4","388","362","2026-07-04"
"161","57","7","3697","106","2026-04-01"
"162","22","2","4832","99","2026-04-19"
"163","163","6","3646","199","2026-08-17"
"164","23","2","4866","358","2026-04-02"
"165","199","5","3756","496","2026-08-08"
"166","58","1","1605","480","2026-06-18"
"167","146","6","1256","415","2026-06-22"
"168","115","3","2380","403","2026-09-11"
"169","57","1","1407","77","2026-03-23"
"170","21","8","199","56","2026-05-06"
"171","17","3","408","373","2026-05-24"
"172","85","6","2849","423","2026-04-14"
"173","183","7","1980","47","2026-06-13"
"174","99","4","4863","91","2026-04-12"
"175","192","6","2859","389","2026-05-31"
"176","156","1","1765","22","2026-06-28"
"177","18","1","3720","395","2026-08-07"
"178","92","6","333","489","2026-04-09"
"179","56","1","3445","184","2026-04-22"
"180","114","1","2591","117","2026-07-14"
"181","73","7","836","247","2026-05-23"
"182","75","3","3035","196","2026-08-18"
"183","63","3","224","47","2026-04-06"
"184","94","1","1083","410","2026-09-08"
"185","196","2","1161","140","2026-09-05"
"186","89","3","3178","348","2026-04-07"
"187","77","6","4693","458","2026-04-08"
"188","128","1","1743","81","2026-07-19"
"189","174","8","774","250","2026-09-09"
"190","111","8","1704","378","2026-05-10"
"191","195","1","2395","448","2026-04-04"
"192","71","8","65","93","2026-04-25"
"193","172","6","2051","313","2026-08-07"
"194","49","8","3269","283","2026-08-17"
"195","20","7","3621","397","2026-08-04"
"196","6","2","1447","317","2026-09-01"
"197","88","4","163","403","2026-05-02"
"198","174","5","397","374","2026-08-03"
"199","191","3","2747","50","2026-06-01"
"200","190","3","949","170","2026-03-23"
"201","68","6","3398","418","2026-05-19"
"202","80","3","1081","203","2026-06-19"
"203","92","7","2111","218","2026-07-03"
"204","48","2","3132","153","2026-04-21"
"205","54","3","3192","116","2026-08-21"
"206","191","8","4616","24","2026-05-13"
"207","150","6","3759","189","2026-08-24"
"208","163","3","3813","108","2026-05-20"
"209","194","3","884","196","2026-04-01"
"210","194","4","4711","410","2026-08-29"
"211","194","2","2946","288","2026-07-13"
"212","58","7","2477","313","2026-03-24"
"213","156","2","815","127","2026-09-01"
"214","129","2","2206","361","2026-04-01"
"215","127","2","4499","282","2026-07-10"
"216","97","7","3711","58","2026-05-23"
"217","102","2","1698","157","2026-06-10"
"218","138","7","3263","204","2026-07-25"
"219","103","2","4188","182","2026-06-18"
"220","14","8","4052","201","2026-09-12"
"221","45","5","3814","414","2026-06-01"
"222","57","2","3102","120","2026-06-05"
"223","64","3","3802","54","2026-04-30"
"224","121","8","39","107","2026-09-05"
"225","45","5","2387","188","2026-07-07"
"226","106","1","242","30","2026-05-13"
"227","66","5","2480","287","2026-07-21"
"228","125","7","2128","287","2026-08-06"
"229","24","5","1924","207","2026-03-28"
"230","1","6","1370","440","2026-09-04"
"231","76","4","3860","136","2026-06-19"
"232","62","2","352","82","2026-05-21"
"233","47","4","4450","313","2026-07-07"
"234","46","4","3508","430","2026-08-14"
"235","99","2","2595","478","2026-06-18"
"236","29","3","1756","393","2026-06-14"
"237","191","1","3339","144","2026-04-16"
"238","100","8","3612","344","2026-03-20"
"239","155","4","1842","139","2026-07-12"
"240","117","3","1259","378","2026-08-09"
"241","154","4","1744","464","2026-07-20"
"242","115","5","1666","55","2026-03-24"
"243","168","8","3161","115","2026-09-01"
"244","3","7","3017","351","2026-04-03"
"245","11","6","2437","88","2026-05-02"
"246","69","3","2256","408","2026-06-28"
"247","81","3","4037","37","2026-08-14"
"248","111","3","2768","348","2026-07-12"
"249","184","8","2861","450","2026-08-15"
"250","39","7","3896","143","2026-06-22"
"251","119","5","4762","411","2026-08-03"
"252","13","5","1251","190","2026-08-01"
"253","154","4","610","235","2026-08-22"
"254","71","1","1138","139","2026-06-25"
"255","176","6","3947","58","2026-07-18"
"256","37","6","2507","236","2026-08-14"
"257","79","7","3357","312","2026-09-12"
"258","85","5","3718","320","2026-03-22"
"259","87","3","288","55","2026-07-18"
"260","60","8","2471","134","2026-07-15"
"261","193","3","2087","456","2026-06-06"
"262","10","8","1495","217","2026-04-22"
"263","46","2","55","245","2026-05-04"
"264","101","5","1309","82","2026-03-26"
"265","56","2","190","156","2026-03-24"
"266","1","3","4373","448","2026-03-27"
"267","122","7","2365","130","2026-06-15"
"268","8","3","579","382","2026-05-25"
"269","48","7","2173","387","2026-04-11"
"270","139","5","592","13","2026-07-17"
"271","99","8","3172","363","2026-06-18"
"272","117","3","4211","285","2026-06-14"
"273","19","6","3666","160","2026-05-09"
"274","83","2","1290","197","2026-06-12"
"275","125","8","4512","414","2026-06-03"
"276","54","2","1994","109","2026-07-08"
"277","14","8","3960","353","2026-06-07"
"278","32","6","3983","148","2026-07-18"
"279","82","1","2674","28","2026-03-23"
"280","50","4","3206","394","2026-08-17"
"281","69","5","1877","461","2026-06-26"
"282","126","8","4493","298","2026-08-12"
"283","118","5","2759","466","2026-07-01"
"284","69","3","2158","117","2026-04-05"
"285","65","1","3923","167","2026-08-22"
"286","95","4","1111","424","2026-08-05"
"287","139","5","1427","489","2026-08-28"
"288","38","7","681","431","2026-06-20"
"289","19","6","4651","469","2026-07-28"
"290","92","1","585","434","2026-07-13"
"291","86","4","1736","480","2026-06-26"
"292","39","5","2682","131","2026-05-03"
"293","9","4","3971","214","2026-05-23"
"294","13","4","1055","358","2026-06-19"
"295","66","1","4549","230","2026-04-15"
"296","46","4","71","453","2026-06-20"
"297","95","5","2689","61","2026-04-19"
"298","121","5","352","18","2026-06-07"
"299","110","7","1551","180","2026-03-21"
"300","171","1","3647","119","2026-04-25"
"301","75","1","4652","159","2026-04-12"
"302","114","5","2458","66","2026-09-07"
"303","138","3","3728","170","2026-07-22"
"304","10","7","3744","489","2026-07-23"
"305","197","2","3177","304","2026-04-04"
"306","49","4","1627","75","2026-06-19"
"307","30","6","268","71","2026-05-08"
"308","71","4","3485","10","2026-05-26"
"309","130","2","3909","106","2026-04-17"
"310","187","3","3563","492","2026-04-05"
"311","20","8","84","147","2026-06-16"
"312","1","2","2210","479","2026-08-10"
"313","6","4","1010","81","2026-04-22"
"314","158","8","672","241","2026-05-21"
"315","53","4","3237","29","2026-09-04"
"316","28","1","4366","149","2026-03-27"
"317","67","2","2747","70","2026-08-26"
"318","157","7","3403","484","2026-07-29"
"319","43","7","1577","62","2026-07-26"
"320","80","3","1207","431","2026-05-08"
"321","4","6","3279","477","2026-03-21"
"322","88","2","1644","460","2026-07-17"
"323","96","4","4967","485","2026-06-01"
"324","199","5","3315","107","2026-04-11"
"325","20","1","4985","398","2026-04-21"
"326","85","3","2017","148","2026-06-22"
"327","25","5","2489","407","2026-09-05"
"328","44","1","3563","482","2026-08-04"
"329","146","5","801","185","2026-09-09"
"330","83","4","930","493","2026-06-08"
"331","64","7","4470","292","2026-08-30"
"332","23","8","1102","460","2026-08-06"
"333","113","5","477","163","2026-04-02"
"334","143","3","1890","79","2026-04-26"
"335","163","8","4806","147","2026-08-04"
"336","7","5","3193","297","2026-05-08"
"337","29","1","1852","113","2026-05-27"
"338","36","2","4568","236","2026-06-20"
"339","143","7","1252","392","2026-07-30"
"340","71","1","4364","494","2026-09-09"
"341","159","7","4636","423","2026-09-09"
"342","157","5","1519","293","2026-07-21"
"343","127","6","3878","370","2026-08-18"
"344","3","8","4199","157","2026-09-10"
"345","47","5","3967","302","2026-07-24"
"346","46","2","3555","294","2026-08-26"
"347","19","5","4849","447","2026-07-18"
"348","20","4","655","358","2026-04-06"
"349","149","6","1302","10","2026-08-16"
"350","32","2","3095","242","2026-03-27"
"351","137","8","1123","81","2026-05-14"
"352","122","4","2861","16","2026-05-13"
"353","143","7","2027","430","2026-08-17"
"354","82","8","4657","16","2026-04-02"
"355","7","2","3856","68","2026-04-10"
"356","188","2","3104","456","2026-07-25"
"357","191","4","1867","317","2026-06-13"
"358","53","4","2930","190","2026-08-11"
"359","182","5","3003","80","2026-08-26"
"360","124","8","3395","335","2026-05-25"
"361","159","6","3429","37","2026-09-07"
"362","43","1","3142","376","2026-04-20"
"363","64","1","3459","454","2026-07-12"
"364","138","5","1521","312","2026-09-07"
"365","156","2","3863","413","2026-06-10"
"366","71","8","247","376","2026-08-23"
"367","167","3","2791","214","2026-07-29"
"368","136","3","43","91","2026-05-26"
"369","36","6","2451","444","2026-04-11"
"370","199","2","3342","17","2026-08-08"
"371","196","8","2711","309","2026-06-12"
"372","132","1","4225","411","2026-05-02"
"373","57","5","1029","75","2026-03-21"
"374","160","2","2430","372","2026-06-24"
"375","81","8","1074","371","2026-06-15"
"376","38","6","4894","458","2026-04-04"
"377","39","4","2165","234","2026-04-25"
"378","141","7","3313","111","2026-05-12"
"379","1","8","3792","63","2026-04-20"
"380","19","7","4546","259","2026-05-11"
"381","189","3","4771","263","2026-07-20"
"382","111","5","3107","343","2026-06-07"
"383","13","2","2340","42","2026-08-05"
"384","129","4","2244","40","2026-09-05"
"385","55","1","3465","414","2026-08-11"
"386","75","6","3475","464","2026-05-01"
"387","29","7","3018","54","2026-09-10"
"388","44","2","4397","80","2026-04-27"
"389","8","8","2349","302","2026-06-16"
"390","110","8","1963","63","2026-07-26"
"391","108","5","2022","358","2026-08-07"
"392","126","3","3270","200","2026-08-31"
"393","21","1","1840","249","2026-07-10"
"394","80","1","1176","402","2026-06-28"
"395","151","7","4190","378","2026-08-19"
"396","158","5","4684","140","2026-08-21"
"397","66","6","2664","415","2026-05-30"
"398","166","8","1831","379","2026-06-24"
"399","9","7","3987","117","2026-05-05"
"400","131","6","2323","427","2026-06-13"
"401","163","5","105","475","2026-07-15"
"402","54","1","4612","189","2026-08-06"
"403","27","1","1485","283","2026-07-25"
"404","9","7","211","148","2026-06-28"
"405","41","3","3697","163","2026-09-03"
"406","175","7","1660","214","2026-05-04"
"407","123","7","205","66","2026-06-22"
"408","183","7","673","486","2026-09-12"
"409","94","1","0","156","2026-08-16"
"410","147","6","991","122","2026-07-08"
"411","152","7","1467","468","2026-05-18"
"412","143","8","2863","371","2026-03-24"
"413","56","5","4640","317","2026-08-11"
"414","143","3","4917","357","2026-03-22"
"415","108","1","490","317","2026-06-13"
"416","133","1","4132","183","2026-04-24"
"417","119","3","4444","271","2026-06-19"
"418","84","6","3859","312","2026-05-11"
"419","71","7","3451","155","2026-07-01"
"420","68","5","2376","53","2026-07-12"
"421","59","5","2634","66","2026-04-15"
"422","64","6","3750","121","2026-06-11"
"423","178","3","3901","352","2026-07-07"
"424","55","6","175","328","2026-08-02"
"425","88","3","2551","132","2026-04-20"
"426","36","3","141","384","2026-04-10"
"427","37","7","2648","155","2026-06-13"
"428","108","3","4747","214","2026-05-07"
"429","59","4","36","87","2026-06-11"
"430","22","7","2562","133","2026-07-28"
"431","20","8","2255","479","2026-05-09"
"432","85","7","4411","114","2026-06-26"
"433","158","1","2253","292","2026-07-06"
"434","117","7","1423","100","2026-04-07"
"435","50","4","1672","152","2026-08-17"
"436","41","5","1672","432","2026-09-05"
"437","161","8","3120","479","2026-05-13"
"438","186","7","3604","126","2026-07-02"
"439","7","4","2087","375","2026-08-24"
"440","118","4","3916","416","2026-05-29"
"441","140","3","960","182","2026-05-10"
"442","194","3","3842","145","2026-06-18"
"443","40","4","634","69","2026-03-24"
"444","18","4","290","21","2026-05-19"
"445","80","1","1742","401","2026-09-05"
"446","52","1","3698","350","2026-07-08"
"447","87","8","1916","30","2026-08-07"
"448","67","3","2819","44","2026-06-24"
"449","7","8","158","462","2026-05-10"
"450","112","6","1145","46","2026-07-11"
"451","38","6","1074","104","2026-07-27"
"452","161","5","1761","282","2026-04-14"
"453","117","6","101","36","2026-06-18"
"454","10","2","1085","243","2026-08-11"
"455","57","6","936","370","2026-05-06"
"456","102","5","1054","205","2026-06-26"
"457","103","3","3162","122","2026-05-17"
"458","1","3","378","114","2026-04-21"
"459","30","2","566","69","2026-04-11"
"460","95","7","3515","92","2026-04-04"
"461","166","3","2570","387","2026-06-21"
"462","65","6","542","415","2026-04-18"
"463","180","4","3733","310","2026-03-27"
"464","136","1","4398","17","2026-08-08"
"465","6","5","2895","229","2026-04-23"
"466","170","8","1593","344","2026-08-20"
"467","156","1","1436","385","2026-04-14"
"468","145","4","4945","135","2026-07-31"
"469","96","6","2585","378","2026-06-01"
"470","192","6","3869","148","2026-06-25"
"471","78","1","4525","243","2026-06-15"
"472","136","2","2619","395","2026-03-22"
"473","95","5","4533","354","2026-08-17"
"474","23","2","1527","35","2026-05-05"
"475","112","8","4396","167","2026-04-06"
"476","41","2","179","378","2026-05-26"
"477","54","2","3733","298","2026-09-09"
"478","108","5","1797","358","2026-04-02"
"479","135","1","289","326","2026-09-09"
"480","32","1","3383","234","2026-04-08"
"481","31","3","1553","110","2026-06-28"
"482","121","7","3701","318","2026-08-30"
"483","160","6","1514","321","2026-08-09"
"484","39","8","1975","37","2026-08-01"
"485","151","1","3345","230","2026-04-27"
"486","121","4","4626","401","2026-08-06"
"487","173","7","577","43","2026-03-21"
"488","2","5","15","262","2026-05-18"
"489","72","4","1279","366","2026-06-22"
"490","96","4","1622","38","2026-08-02"
"491","154","4","4192","483","2026-07-01"
"492","61","5","194","230","2026-06-21"
"493","77","1","3002","433","2026-07-06"
"494","124","4","314","233","2026-09-05"
"495","87","4","909","462","2026-05-18"
"496","194","7","4741","373","2026-08-12"
"497","126","5","188","220","2026-04-04"
"498","196","5","4693","266","2026-03-30"
"499","134","4","3654","342","2026-04-28"
"500","89","2","3815","283","2026-04-03"
"501","6","6","213","224","2026-04-27"
"502","151","4","83","110","2026-04-11"
"503","81","2","845","172","2026-06-27"
"504","163","4","2725","368","2026-04-21"
"505","32","6","2348","10","2026-07-11"
"506","28","3","3813","35","2026-09-01"
"507","129","7","1030","141","2026-05-25"
"508","59","6","2703","340","2026-04-06"
"509","100","4","4033","239","2026-08-03"
"510","123","8","2282","93","2026-08-24"
"511","21","1","687","82","2026-08-30"
"512","181","5","2618","60","2026-06-03"
"513","97","6","4286","153","2026-06-24"
"514","36","2","4480","382","2026-05-31"
"515","76","2","4223","325","2026-07-09"
"516","145","4","4158","478","2026-06-19"
"517","23","3","4708","81","2026-05-14"
"518","85","8","564","378","2026-07-05"
"519","25","8","3600","328","2026-03-31"
"520","43","1","3621","290","2026-06-14"
"521","112","7","4206","30","2026-04-25"
"522","107","1","1710","347","2026-06-05"
"523","188","5","2813","284","2026-04-16"
"524","73","1","3742","319","2026-04-13"
"525","175","6","514","86","2026-06-30"
"526","149","6","1437","207","2026-07-28"
"527","198","4","3990","388","2026-05-30"
"528","35","3","272","448","2026-07-11"
"529","86","4","3801","471","2026-05-07"
"530","55","7","329","200","2026-04-29"
"531","67","6","4040","334","2026-04-05"
"532","86","7","2970","238","2026-04-19"
"533","157","1","3976","202","2026-03-27"
"534","59","4","1454","471","2026-03-20"
"535","160","2","4992","98","2026-08-15"
"536","185","6","4920","368","2026-05-31"
"537","23","6","2855","233","2026-05-25"
"538","90","3","2648","244","2026-07-22"
"539","189","5","1020","364","2026-07-27"
"540","130","5","4618","370","2026-05-06"
"541","176","4","873","136","2026-05-09"
"542","140","6","1483","324","2026-04-28"
"543","146","1","4371","112","2026-08-04"
"544","80","4","4953","286","2026-09-03"
"545","56","7","1354","215","2026-08-04"
"546","9","7","3190","421","2026-06-02"
"547","28","1","1676","317","2026-07-08"
"548","90","5","1603","179","2026-08-07"
"549","195","4","3862","292","2026-06-06"
"550","178","7","3569","343","2026-08-12"
"551","43","3","4106","181","2026-07-25"
"552","54","8","3620","86","2026-03-24"
"553","178","6","1310","365","2026-06-30"
"554","65","6","1028","64","2026-04-01"
"555","166","4","3065","192","2026-04-02"
"556","29","1","1236","65","2026-07-15"
"557","58","7","2411","370","2026-06-27"
"558","160","6","1258","456","2026-06-01"
"559","169","8","3079","401","2026-04-24"
"560","98","7","3183","405","2026-07-06"
"561","108","2","4469","414","2026-04-19"
"562","187","6","276","434","2026-06-09"
"563","34","4","4183","213","2026-07-15"
"564","61","1","3736","363","2026-09-03"
"565","27","5","1157","274","2026-09-09"
"566","132","4","2847","280","2026-04-23"
"567","163","3","4998","133","2026-06-01"
"568","81","8","239","29","2026-06-08"
"569","196","7","3414","173","2026-07-23"
"570","37","3","4623","352","2026-07-21"
"571","190","7","4718","491","2026-05-07"
"572","126","1","340","17","2026-08-20"
"573","20","3","3556","169","2026-05-28"
"574","184","7","4822","217","2026-08-09"
"575","146","3","3886","199","2026-05-18"
"576","95","7","3574","158","2026-05-03"
"577","30","4","1503","81","2026-09-12"
"578","151","1","4178","162","2026-09-07"
"579","15","3","4165","397","2026-07-09"
"580","168","3","3877","486","2026-08-25"
"581","10","1","914","40","2026-05-29"
"582","112","2","3455","309","2026-03-28"
"583","37","2","527","467","2026-06-29"
"584","60","2","1418","337","2026-07-07"
"585","28","6","3193","176","2026-09-02"
"586","15","4","4005","223","2026-04-07"
"587","59","2","2411","119","2026-07-16"
"588","171","2","3890","21","2026-07-06"
"589","84","7","2833","17","2026-05-17"
"590","62","4","3698","391","2026-04-20"
"591","186","3","168","486","2026-07-06"
"592","37","4","1495","280","2026-04-06"
"593","4","3","2870","187","2026-08-31"
"594","162","2","4113","451","2026-08-26"
"595","154","8","1274","363","2026-05-21"
"596","113","6","2056","399","2026-08-18"
"597","198","2","1075","220","2026-08-29"
"598","110","2","1254","464","2026-08-27"
"599","49","8","3411","197","2026-08-03"
"600","29","7","3563","441","2026-07-31"
"601","151","8","3038","193","2026-06-09"
"602","31","3","3764","441","2026-05-23"
"603","173","8","2910","67","2026-08-21"
"604","107","1","594","236","2026-08-08"
"605","109","1","4278","65","2026-06-14"
"606","52","4","3493","178","2026-05-07"
"607","61","5","2236","105","2026-04-30"
"608","139","8","2337","46","2026-05-26"
"609","114","6","947","156","2026-08-18"
"610","42","3","2092","84","2026-09-05"
"611","110","3","1019","326","2026-09-01"
"612","125","6","1758","352","2026-04-11"
"613","152","5","3018","460","2026-08-11"
"614","19","4","2276","303","2026-09-01"
"615","184","5","2122","237","2026-06-01"
"616","131","1","3545","156","2026-08-02"
"617","3","7","689","189","2026-05-08"
"618","13","2","4557","194","2026-05-15"
"619","65","2","1213","204","2026-07-29"
"620","75","4","1169","424","2026-08-04"
"621","93","2","2271","85","2026-08-03"
"622","43","2","4612","287","2026-08-11"
"623","195","8","4106","267","2026-06-01"
"624","47","5","1512","80","2026-04-04"
"625","52","5","648","110","2026-03-29"
"626","100","5","4934","483","2026-07-22"
"627","148","6","1049","327","2026-06-29"
"628","79","3","642","449","2026-05-14"
"629","19","7","1280","330","2026-07-07"
"630","108","2","172","85","2026-08-01"
"631","46","2","4312","151","2026-05-05"
"632","64","2","1931","34","2026-07-27"
"633","172","8","3515","158","2026-04-05"
"634","6","5","448","359","2026-05-27"
"635","126","8","2911","482","2026-08-15"
"636","86","2","3114","207","2026-06-14"
"637","44","4","4824","371","2026-09-06"
"638","40","6","1023","306","2026-07-19"
"639","162","1","2094","202","2026-07-04"
"640","31","6","2766","98","2026-05-11"
"641","175","8","4070","422","2026-03-21"
"642","144","1","151","442","2026-04-30"
"643","106","4","1689","70","2026-06-06"
"644","71","5","4594","370","2026-09-06"
"645","151","5","726","296","2026-06-05"
"646","199","1","2255","460","2026-05-06"
"647","55","1","3821","192","2026-04-30"
"648","129","6","1377","357","2026-05-13"
"649","5","8","464","401","2026-03-26"
"650","156","4","4617","85","2026-06-17"
"651","67","2","3496","186","2026-07-25"
"652","16","4","2941","383","2026-06-06"
"653","185","5","1765","170","2026-04-25"
"654","124","5","2559","135","2026-08-24"
"655","177","7","1539","140","2026-05-21"
"656","96","4","1871","205","2026-03-24"
"657","85","7","4593","372","2026-04-23"
"658","101","8","4739","51","2026-04-19"
"659","17","2","3302","121","2026-03-30"
"660","136","8","3960","224","2026-08-13"
"661","89","3","2661","307","2026-04-26"
"662","71","2","2528","298","2026-06-23"
"663","197","7","1991","341","2026-04-07"
"664","82","1","2268","379","2026-06-09"
"665","59","2","1435","123","2026-07-04"
"666","156","4","4156","303","2026-06-17"
"667","9","4","2810","337","2026-04-21"
"668","128","5","4779","476","2026-03-26"
"669","9","7","2637","368","2026-06-20"
"670","77","2","3179","22","2026-05-31"
"671","163","7","3685","296","2026-03-21"
"672","95","7","1001","32","2026-07-05"
"673","97","5","257","51","2026-03-18"
"674","61","1","624","295","2026-06-22"
"675","144","7","4570","433","2026-04-21"
"676","72","5","2299","263","2026-05-28"
"677","178","7","102","314","2026-07-07"
"678","174","2","227","45","2026-08-23"
"679","75","1","385","347","2026-06-20"
"680","140","4","2985","254","2026-09-08"
"681","161","1","1255","384","2026-04-05"
"682","143","7","4032","151","2026-05-11"
"683","94","2","4374","286","2026-09-12"
"684","78","1","2781","288","2026-09-01"
"685","110","7","2340","479","2026-05-16"
"686","83","7","3106","369","2026-08-05"
"687","24","2","1942","135","2026-06-09"
"688","34","8","956","266","2026-08-10"
"689","140","5","767","238","2026-07-20"
"690","159","8","3133","355","2026-04-16"
"691","67","1","1851","380","2026-07-10"
"692","35","8","2428","314","2026-06-06"
"693","22","8","4636","34","2026-09-08"
"694","74","1","898","76","2026-06-07"
"695","180","3","613","185","2026-03-27"
"696","77","4","772","136","2026-06-10"
"697","171","4","2842","407","2026-06-12"
"698","178","2","3429","282","2026-03-18"
"699","20","4","2931","184","2026-03-24"
"700","174","7","2909","391","2026-08-23"
"701","140","6","1931","256","2026-07-05"
"702","94","3","3428","279","2026-04-12"
