"RateDate","EURUSD","EURGBP","EURDKK"
"2026-07-27","1.094","0.898","7.452"
"2026-07-26","1.107","0.851","7.447"
"2026-07-25","1.165","0.88","7.465"
"2026-07-24","1.058","0.892","7.478"
"2026-07-23","1.193","0.896","7.447"
"2026-07-22","1.108","0.87","7.47"
"2026-07-21","1.22","0.889","7.467"
"2026-07-20","1.052","0.918","7.464"
"2026-07-19","1.206","0.861","7.458"
"2026-07-18","1.201","0.894","7.449"
"2026-07-17","1.142","0.896","7.466"
"2026-07-16","1.184","0.853","7.451"
"2026-07-15","1.202","0.91","7.477"
"2026-07-14","1.051","0.834","7.443"
"2026-07-13","1.214","0.884","7.443"
"2026-07-12","1.179","0.835","7.445"
"2026-07-11","1.147","0.918","7.458"
"2026-07-10","1.159","0.898","7.452"
"2026-07-09","1.097","0.903","7.47"
"2026-07-08","1.236","0.922","7.479"
"2026-07-07","1.186","0.856","7.459"
"2026-07-06","1.159","0.865","7.456"
"2026-07-05","1.063","0.893","7.44"
"2026-07-04","1.208","0.917","7.468"
"2026-07-03","1.179","0.869","7.444"
"2026-07-02","1.248","0.86","7.462"
"2026-07-01","1.141","0.832","7.463"
"2026-06-30","1.24","0.882","7.465"
"2026-06-29","1.066","0.863","7.443"
"2026-06-28","1.106","0.915","7.467"
"2026-06-27","1.214","0.872","7.478"
"2026-06-26","1.192","0.902","7.477"
"2026-06-25","1.173","0.865","7.457"
"2026-06-24","1.146","0.862","7.469"
"2026-06-23","1.249","0.904","7.459"
"2026-06-22","1.157","0.844","7.459"
"2026-06-21","1.103","0.872","7.459"
"2026-06-20","1.176","0.855","7.479"
"2026-06-19","1.248","0.911","7.442"
"2026-06-18","1.203","0.905","7.471"
"2026-06-17","1.24","0.926","7.474"
"2026-06-16","1.199","0.922","7.463"
"2026-06-15","1.226","0.867","7.46"
"2026-06-14","1.092","0.921","7.461"
"2026-06-13","1.139","0.858","7.453"
"2026-06-12","1.162","0.879","7.458"
"2026-06-11","1.153","0.879","7.445"
"2026-06-10","1.187","0.838","7.468"
"2026-06-09","1.19","0.889","7.453"
"2026-06-08","1.103","0.877","7.478"
"2026-06-07","1.119","0.877","7.46"
"2026-06-06","1.185","0.84","7.467"
"2026-06-05","1.169","0.89","7.472"
"2026-06-04","1.12","0.854","7.44"
"2026-06-03","1.108","0.89","7.441"
"2026-06-02","1.144","0.905","7.478"
"2026-06-01","1.092","0.832","7.468"
"2026-05-31","1.071","0.875","7.475"
"2026-05-30","1.113","0.841","7.467"
"2026-05-29","1.103","0.89","7.464"
"2026-05-28","1.247","0.912","7.472"
"2026-05-27","1.171","0.865","7.45"
"2026-05-26","1.068","0.837","7.461"
"2026-05-25","1.051","0.878","7.452"
"2026-05-24","1.222","0.925","7.479"
"2026-05-23","1.135","0.923","7.455"
"2026-05-22","1.184","0.926","7.444"
"2026-05-21","1.152","0.884","7.476"
"2026-05-20","1.161","0.861","7.462"
"2026-05-19","1.168","0.918","7.471"
"2026-05-18","1.11","0.887","7.466"
"2026-05-17","1.069","0.917","7.47"
"2026-05-16","1.189","0.851","7.445"
"2026-05-15","1.168","0.908","7.478"
"2026-05-14","1.185","0.902","7.445"
"2026-05-13","1.23","0.873","7.449"
"2026-05-12","1.237","0.875","7.456"
"2026-05-11","1.075","0.911","7.465"
"2026-05-10","1.221","0.872","7.464"
"2026-05-09","1.193","0.929","7.464"
"2026-05-08","1.173","0.87","7.468"
"2026-05-07","1.063","0.902","7.465"
"2026-05-06","1.245","0.866","7.473"
"2026-05-05","1.097","0.88","7.457"
"2026-05-04","1.096","0.904","7.458"
"2026-05-03","1.191","0.845","7.444"
"2026-05-02","1.221","0.831","7.468"
"2026-05-01","1.134","0.847","7.451"
"2026-04-30","1.157","0.857","7.441"
"2026-04-29","1.174","0.838","7.468"
"2026-04-28","1.244","0.908","7.442"
"2026-04-27","1.162","0.838","7.45"
"2026-04-26","1.06","0.89","7.461"
"2026-04-25","1.122","0.856","7.472"
"2026-04-24","1.081","0.914","7.457"
"2026-04-23","1.18","0.839","7.465"
"2026-04-22","1.173","0.869","7.467"
"2026-04-21","1.122","0.911","7.475"
"2026-04-20","1.231","0.913","7.471"
"2026-04-19","1.082","0.86","7.444"
"2026-04-18","1.186","0.876","7.459"
"2026-04-17","1.097","0.893","7.471"
"2026-04-16","1.092","0.909","7.453"
"2026-04-15","1.146","0.88","7.451"
"2026-04-14","1.129","0.871","7.475"
"2026-04-13","1.139","0.926","7.468"
"2026-04-12","1.061","0.866","7.455"
"2026-04-11","1.091","0.887","7.469"
"2026-04-10","1.111","0.892","7.468"
"2026-04-09","1.102","0.832","7.471"
"2026-04-08","1.219","0.848","7.471"
"2026-04-07","1.17","0.877","7.447"
"2026-04-06","1.088","0.907","7.444"
"2026-04-05","1.178","0.887","7.479"
"2026-04-04","1.138","0.896","7.445"
"2026-04-03","1.201","0.83","7.45"
"2026-04-02","1.23","0.889","7.468"
"2026-04-01","1.131","0.836","7.45"
"2026-03-31","1.062","0.847","7.473"
"2026-03-30","1.245","0.916","7.448"
"2026-03-29","1.066","0.865","7.468"
"2026-03-28","1.153","0.837","7.449"
"2026-03-27","1.089","0.918","7.463"
"2026-03-26","1.194","0.836","7.477"
"2026-03-25","1.19","0.853","7.442"
"2026-03-24","1.228","0.832","7.468"
"2026-03-23","1.178","0.845","7.476"
"2026-03-22","1.147","0.884","7.466"
"2026-03-21","1.151","0.833","7.46"
"2026-03-20","1.092","0.873","7.453"
"2026-03-19","1.249","0.91","7.459"
"2026-03-18","1.109","0.902","7.465"
"2026-03-17","1.236","0.862","7.452"
"2026-03-16","1.153","0.879","7.465"
"2026-03-15","1.232","0.884","7.455"
"2026-03-14","1.051","0.888","7.479"
"2026-03-13","1.14","0.866","7.466"
"2026-03-12","1.111","0.884","7.461"
"2026-03-11","1.056","0.92","7.457"
"2026-03-10","1.203","0.881","7.468"
"2026-03-09","1.207","0.845","7.476"
"2026-03-08","1.206","0.849","7.476"
"2026-03-07","1.209","0.891","7.465"
"2026-03-06","1.179","0.92","7.471"
"2026-03-05","1.206","0.854","7.473"
"2026-03-04","1.149","0.859","7.45"
"2026-03-03","1.155","0.91","7.465"
"2026-03-02","1.055","0.853","7.451"
"2026-03-01","1.092","0.873","7.458"
"2026-02-28","1.123","0.921","7.468"
"2026-02-27","1.223","0.892","7.454"
"2026-02-26","1.05","0.831","7.445"
"2026-02-25","1.202","0.859","7.455"
"2026-02-24","1.119","0.843","7.454"
"2026-02-23","1.171","0.866","7.441"
"2026-02-22","1.165","0.841","7.476"
"2026-02-21","1.092","0.922","7.452"
"2026-02-20","1.248","0.884","7.468"
"2026-02-19","1.057","0.874","7.449"
"2026-02-18","1.124","0.891","7.452"
"2026-02-17","1.237","0.886","7.446"
"2026-02-16","1.177","0.917","7.47"
"2026-02-15","1.154","0.853","7.455"
"2026-02-14","1.182","0.914","7.463"
"2026-02-13","1.202","0.852","7.452"
"2026-02-12","1.229","0.911","7.447"
"2026-02-11","1.113","0.847","7.471"
"2026-02-10","1.166","0.925","7.451"
"2026-02-09","1.069","0.891","7.444"
"2026-02-08","1.093","0.836","7.442"
"2026-02-07","1.217","0.904","7.451"
"2026-02-06","1.226","0.928","7.445"
"2026-02-05","1.242","0.908","7.477"
"2026-02-04","1.234","0.908","7.465"
"2026-02-03","1.19","0.901","7.464"
"2026-02-02","1.236","0.927","7.455"
"2026-02-01","1.171","0.866","7.456"
"2026-01-31","1.143","0.906","7.474"
"2026-01-30","1.179","0.926","7.441"
"2026-01-29","1.12","0.837","7.46"
"2026-01-28","1.088","0.87","7.44"
"2026-01-27","1.095","0.877","7.441"
"2026-01-26","1.148","0.88","7.456"
"2026-01-25","1.154","0.847","7.455"
"2026-01-24","1.052","0.878","7.451"
"2026-01-23","1.137","0.879","7.441"
"2026-01-22","1.21","0.9","7.464"
"2026-01-21","1.101","0.896","7.47"
"2026-01-20","1.077","0.842","7.461"
"2026-01-19","1.18","0.906","7.459"
"2026-01-18","1.188","0.845","7.465"
"2026-01-17","1.068","0.834","7.46"
"2026-01-16","1.161","0.913","7.475"
"2026-01-15","1.115","0.877","7.46"
"2026-01-14","1.071","0.923","7.457"
"2026-01-13","1.207","0.833","7.463"
"2026-01-12","1.234","0.86","7.456"
"2026-01-11","1.119","0.874","7.456"
"2026-01-10","1.191","0.864","7.452"
"2026-01-09","1.161","0.849","7.472"
"2026-01-08","1.132","0.835","7.443"
"2026-01-07","1.106","0.912","7.464"
"2026-01-06","1.073","0.831","7.454"
"2026-01-05","1.125","0.862","7.459"
"2026-01-04","1.217","0.928","7.441"
"2026-01-03","1.186","0.86","7.477"
"2026-01-02","1.126","0.915","7.473"
"2026-01-01","1.079","0.902","7.441"
"2025-12-31","1.229","0.861","7.461"
"2025-12-30","1.077","0.866","7.475"
"2025-12-29","1.097","0.881","7.454"
"2025-12-28","1.248","0.912","7.461"
"2025-12-27","1.181","0.878","7.476"
"2025-12-26","1.127","0.858","7.475"
"2025-12-25","1.065","0.855","7.46"
"2025-12-24","1.141","0.927","7.464"
"2025-12-23","1.063","0.844","7.451"
"2025-12-22","1.156","0.865","7.457"
"2025-12-21","1.227","0.85","7.462"
"2025-12-20","1.186","0.855","7.468"
"2025-12-19","1.235","0.887","7.441"
"2025-12-18","1.132","0.92","7.461"
"2025-12-17","1.114","0.849","7.444"
"2025-12-16","1.121","0.91","7.444"
"2025-12-15","1.225","0.929","7.479"
"2025-12-14","1.188","0.865","7.449"
"2025-12-13","1.147","0.874","7.447"
"2025-12-12","1.245","0.87","7.478"
"2025-12-11","1.238","0.869","7.474"
"2025-12-10","1.223","0.845","7.476"
"2025-12-09","1.113","0.875","7.441"
"2025-12-08","1.075","0.841","7.44"
"2025-12-07","1.177","0.852","7.467"
"2025-12-06","1.142","0.897","7.448"
"2025-12-05","1.115","0.865","7.453"
"2025-12-04","1.206","0.894","7.453"
"2025-12-03","1.149","0.862","7.467"
"2025-12-02","1.159","0.865","7.477"
"2025-12-01","1.092","0.88","7.467"
"2025-11-30","1.121","0.892","7.472"
"2025-11-29","1.16","0.903","7.464"
"2025-11-28","1.165","0.888","7.446"
"2025-11-27","1.225","0.914","7.455"
"2025-11-26","1.093","0.917","7.453"
"2025-11-25","1.242","0.84","7.47"
"2025-11-24","1.052","0.859","7.457"
"2025-11-23","1.105","0.926","7.442"
"2025-11-22","1.101","0.91","7.479"
"2025-11-21","1.097","0.88","7.477"
"2025-11-20","1.143","0.928","7.456"
"2025-11-19","1.094","0.831","7.46"
"2025-11-18","1.092","0.872","7.45"
"2025-11-17","1.095","0.874","7.442"
"2025-11-16","1.166","0.859","7.462"
"2025-11-15","1.118","0.902","7.458"
"2025-11-14","1.121","0.897","7.455"
"2025-11-13","1.165","0.851","7.458"
"2025-11-12","1.231","0.837","7.467"
"2025-11-11","1.18","0.926","7.448"
"2025-11-10","1.071","0.854","7.466"
"2025-11-09","1.221","0.907","7.449"
"2025-11-08","1.059","0.833","7.459"
"2025-11-07","1.157","0.894","7.458"
"2025-11-06","1.175","0.892","7.45"
"2025-11-05","1.109","0.866","7.479"
"2025-11-04","1.151","0.834","7.452"
"2025-11-03","1.225","0.903","7.449"
"2025-11-02","1.247","0.858","7.474"
"2025-11-01","1.212","0.928","7.458"
"2025-10-31","1.13","0.867","7.446"
"2025-10-30","1.245","0.902","7.475"
"2025-10-29","1.219","0.854","7.44"
"2025-10-28","1.113","0.902","7.466"
"2025-10-27","1.23","0.852","7.449"
"2025-10-26","1.096","0.893","7.453"
"2025-10-25","1.084","0.906","7.444"
"2025-10-24","1.097","0.835","7.45"
"2025-10-23","1.243","0.868","7.468"
"2025-10-22","1.171","0.904","7.474"
"2025-10-21","1.2","0.9","7.477"
"2025-10-20","1.099","0.866","7.478"
"2025-10-19","1.053","0.906","7.445"
"2025-10-18","1.08","0.881","7.471"
"2025-10-17","1.142","0.909","7.443"
"2025-10-16","1.068","0.908","7.452"
"2025-10-15","1.095","0.924","7.443"
"2025-10-14","1.095","0.89","7.447"
"2025-10-13","1.173","0.872","7.46"
"2025-10-12","1.223","0.908","7.473"
"2025-10-11","1.226","0.878","7.474"
"2025-10-10","1.176","0.925","7.47"
"2025-10-09","1.198","0.873","7.461"
"2025-10-08","1.099","0.907","7.476"
"2025-10-07","1.062","0.884","7.448"
"2025-10-06","1.185","0.908","7.468"
"2025-10-05","1.232","0.879","7.466"
"2025-10-04","1.142","0.871","7.464"
"2025-10-03","1.13","0.898","7.476"
"2025-10-02","1.198","0.862","7.452"
"2025-10-01","1.245","0.903","7.454"
"2025-09-30","1.115","0.866","7.442"
"2025-09-29","1.08","0.848","7.479"
"2025-09-28","1.103","0.866","7.463"
"2025-09-27","1.215","0.889","7.444"
"2025-09-26","1.116","0.877","7.44"
"2025-09-25","1.119","0.893","7.45"
"2025-09-24","1.154","0.888","7.449"
"2025-09-23","1.158","0.89","7.479"
"2025-09-22","1.057","0.839","7.474"
"2025-09-21","1.242","0.874","7.458"
"2025-09-20","1.077","0.834","7.464"
"2025-09-19","1.157","0.884","7.442"
"2025-09-18","1.249","0.927","7.454"
"2025-09-17","1.11","0.831","7.46"
"2025-09-16","1.11","0.929","7.479"
"2025-09-15","1.195","0.871","7.454"
"2025-09-14","1.149","0.869","7.471"
